institute_norm,institute_standardized,institute_std_method,institute_std_source
opoku ware,Opoku Ware Senior High,manual_map,user_confirmed
opoku ware school,Opoku Ware Senior High,manual_map,user_confirmed
owass,Opoku Ware Senior High,manual_map,user_confirmed
opoku ware shs,Opoku Ware Senior High,manual_map,user_confirmed
opku ware,Opoku Ware Senior High,manual_map,user_confirmed
opuku ware school,Opoku Ware Senior High,manual_map,user_confirmed
opokuwareschool,Opoku Ware Senior High,manual_map,user_confirmed
opoku ware sch,Opoku Ware Senior High,manual_map,user_confirmed
opokuware,Opoku Ware Senior High,manual_map,user_confirmed
school opoku ware,Opoku Ware Senior High,manual_map,user_confirmed
opoku ware secondondary school,Opoku Ware Senior High,manual_map,user_confirmed
opku ware school,Opoku Ware Senior High,manual_map,user_confirmed
opoku ware institution,Opoku Ware Senior High,manual_map,user_confirmed
opoku ware secondary school,Opoku Ware Senior High,manual_map,user_confirmed
opoku ware sschool,Opoku Ware Senior High,manual_map,user_confirmed
opou ware school,Opoku Ware Senior High,manual_map,user_confirmed
opokuware school,Opoku Ware Senior High,manual_map,user_confirmed
opoku ware schoool,Opoku Ware Senior High,manual_map,user_confirmed
opuko ware school,Opoku Ware Senior High,manual_map,user_confirmed
opuku ware schot,Opoku Ware Senior High,manual_map,user_confirmed
opoou ware school,Opoku Ware Senior High,manual_map,user_confirmed
opoku ware snr high school,Opoku Ware Senior High,manual_map,user_confirmed
opoku ware senior high school,Opoku Ware Senior High,manual_map,user_confirmed
opoku ware shool,Opoku Ware Senior High,manual_map,user_confirmed
opoku ware schol,Opoku Ware Senior High,manual_map,user_confirmed
opoku oware school,Opoku Ware Senior High,manual_map,user_confirmed
opoku,Opoku Ware Senior High,manual_map,user_confirmed
opokuware institution,Opoku Ware Senior High,manual_map,user_confirmed
opoku wear school,Opoku Ware Senior High,manual_map,user_confirmed
opuku ware senior high school,Opoku Ware Senior High,manual_map,user_confirmed
opoku warw school,Opoku Ware Senior High,manual_map,user_confirmed
opoku ware t,Opoku Ware Senior High,manual_map,user_confirmed
opoku ware schoo,Opoku Ware Senior High,manual_map,user_confirmed
opoku ware school shs,Opoku Ware Senior High,manual_map,user_confirmed
student of opoku ware sch,Opoku Ware Senior High,manual_map,user_confirmed
osei tutu shs,Osei Tutu Senior High,manual_map,user_confirmed
osei tutu senior highschool,Osei Tutu Senior High,manual_map,user_confirmed
osei tutu senior high school,Osei Tutu Senior High,manual_map,user_confirmed
osei tutu senior high boys,Osei Tutu Senior High,manual_map,user_confirmed
osei tutu senior high sch,Osei Tutu Senior High,manual_map,user_confirmed
osei tutu boys shs,Osei Tutu Senior High,manual_map,user_confirmed
osei tutu senior,Osei Tutu Senior High,manual_map,user_confirmed
osei tutu,Osei Tutu Senior High,manual_map,user_confirmed
osei tutu senior high,Osei Tutu Senior High,manual_map,user_confirmed
osei tutu school,Osei Tutu Senior High,manual_map,user_confirmed
osei tutu secondary sch,Osei Tutu Senior High,manual_map,user_confirmed
osei tutu boys,Osei Tutu Senior High,manual_map,user_confirmed
osei tutu boys college,Osei Tutu Senior High,manual_map,user_confirmed
osei tutu snr high school,Osei Tutu Senior High,manual_map,user_confirmed
presbyterian boys secondary school,Presbyterian Senior High,manual_map,user_confirmed
presbyterian senior high school,Presbyterian Senior High,manual_map,user_confirmed
presbyterian boys senior high school,Presbyterian Senior High,manual_map,user_confirmed
presec legon,Presbyterian Senior High,manual_map,user_confirmed
presec,Presbyterian Senior High,manual_map,user_confirmed
presbyterian boy s secondary school legon,Presbyterian Senior High,manual_map,user_confirmed
presbyterian boys senior high,Presbyterian Senior High,manual_map,user_confirmed
presbyterian senior high,Presbyterian Senior High,manual_map,user_confirmed
presbyterian boys shs,Presbyterian Senior High,manual_map,user_confirmed
presbyterian boys school,Presbyterian Senior High,manual_map,user_confirmed
presbyterian boys second,Presbyterian Senior High,manual_map,user_confirmed
presbyterian boys legon,Presbyterian Senior High,manual_map,user_confirmed
